row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN114904_c0_g2,21.99906100430191,6.40784041679272,1.5222932384918761,4.209333822661471,2.5612473737489942e-5,0.013672583998702914
TRINITY_DN119303_c0_g1,176.1760512005119,1.7292985472651923,0.2959236736493213,5.843731682360987,5.104422250996268e-9,6.445363792529624e-6
TRINITY_DN121637_c0_g1,17.410843969176106,7.548809211390737,1.5848496579399658,4.763107449070533,1.906342649209276e-6,0.0013755100166857766
TRINITY_DN122147_c0_g1,19.47975614883492,3.091519814031454,0.7620034474015747,4.057094261940035,4.9687032062380854e-5,0.023871770990721644
TRINITY_DN128011_c0_g1,1174.517294281937,2.524610484670772,0.2142710018387972,11.782324546977737,4.8146685054064504e-32,4.863592944603696e-28
TRINITY_DN145971_c0_g2,340.5702262598248,1.0261588621647255,0.22100389119340044,4.643171016689178,3.4310212362446013e-6,0.0023264981399219137
TRINITY_DN154329_c0_g2,32.83139275581554,2.4552626291714588,0.6224614241691088,3.944441428557377,7.998619993491242e-5,0.03532690951228464
TRINITY_DN160814_c1_g1,26.05935705027901,3.0446143257392273,0.641169544411164,4.748532353537369,2.0489811358320854e-6,0.0014676777367560287
TRINITY_DN161965_c0_g1,42.25948582541988,2.1533605257085826,0.48365053413206216,4.452306725087998,8.495269620544431e-6,0.005196928424718239
TRINITY_DN165260_c1_g1,144.8055764346753,1.359585057795448,0.27441787837024045,4.954433238351608,7.254141728296003e-7,5.70624444304384e-4
TRINITY_DN165260_c1_g4,199.55906768564972,1.6937285493359893,0.31390025190771975,5.395754030276825,6.8236373472056e-8,6.946409923041755e-5
TRINITY_DN168902_c0_g1,251.48119439462366,1.8586897348976397,0.30158311681698996,6.163109375998493,7.133020077483414e-10,1.0766842868910337e-6
TRINITY_DN170644_c0_g1,11.808978409610713,6.972052494593717,1.6445917962019896,4.2393817789283235,2.2413619273355666e-5,0.012179498882467612
TRINITY_DN174419_c0_g2,8.570094372138223,6.512156802940453,1.685072161821259,3.8646159793548462,1.112641128472061e-4,0.046881223197458674
TRINITY_DN176356_c0_g1,106.81268507953456,1.3910418721458226,0.3236480366440834,4.298008066322846,1.7233989303034546e-5,0.009632550308908347
TRINITY_DN177061_c0_g1,9.08615809326653,6.601899394506858,1.6581745296382169,3.981426126444766,6.850301235750794e-5,0.031199597985434566
TRINITY_DN180111_c2_g1,485.7921550301612,1.793919273119581,0.2473918495344813,7.2513273032042465,4.1270700842300605e-13,1.02905880480603e-9
TRINITY_DN180400_c0_g1,90.0928551993589,1.8154813674952206,0.3183975976600287,5.701931738296952,1.1845726742556123e-8,1.4014348482515429e-5
TRINITY_DN185719_c0_g1,254.61088877297246,1.7948662839055025,0.22281149824979918,8.055537070592452,7.913058182204353e-16,3.026652563724052e-12
TRINITY_DN186903_c1_g1,249.11304495856365,1.1692382674412416,0.22427440384401226,5.213427156201348,1.8538334637573765e-7,1.6789466503040168e-4
TRINITY_DN188947_c1_g1,335.0018349961109,6.0278873071386405,0.3910071917788415,15.416308021638864,1.2716965531330446e-53,3.1312586822622103e-49
TRINITY_DN188947_c1_g2,61.234255018464516,6.905001012035829,1.0978833920278581,6.289375595054651,3.187454241571448e-10,5.063463852307308e-7
TRINITY_DN189215_c0_g1,55.20079051295151,1.654570296914258,0.42045602953889705,3.9351803296263372,8.313425133378121e-5,0.036512618793991584
TRINITY_DN189215_c1_g1,34.646682635194196,2.715144812292822,0.5384326525720264,5.042682310077054,4.590510419718225e-7,3.847853737198832e-4
TRINITY_DN189811_c0_g1,19.933012574780033,5.272927125270762,1.1904741546287114,4.429266359768472,9.45541852011086e-6,0.0056784833024976136
TRINITY_DN190076_c1_g1,22.25955255236209,2.941651806267527,0.7184763911825712,4.094291534653959,4.2346121733116105e-5,0.020879605952870615
TRINITY_DN193251_c1_g1,35.52442924828851,3.4107944310785783,0.6130382359478244,5.563754805285702,2.6403086650915428e-8,2.930095556691435e-5
TRINITY_DN193484_c0_g1,606.9965504460162,1.422650928423803,0.24770992317511348,5.743213312524783,9.289658038765973e-9,1.1191992507420058e-5
TRINITY_DN193573_c0_g1,63.913705104341105,4.1979985953938925,0.5154180993998573,8.144841246906074,3.797798454816044e-16,1.5113051238936295e-12
TRINITY_DN193969_c0_g1,128.8523159126231,1.2600565599484896,0.27279180192725366,4.619114471352454,3.853812146137297e-6,0.0025864725630812403
TRINITY_DN194532_c0_g2,249.82034988959623,3.273827963389937,0.290599335218947,11.265779259003908,1.9363133118626715e-29,1.7337177301848948e-25
TRINITY_DN195369_c1_g1,273.46771653848043,1.025655739671105,0.24988041574992145,4.104586334199052,4.050389908869322e-5,0.02019878176794791
TRINITY_DN195713_c0_g1,593.8701870223364,4.109392470972138,0.7072407064905119,5.810458070723717,6.230213568050351e-9,7.67023008721819e-6
TRINITY_DN195975_c0_g1,15.412046634594377,3.4732263395032468,0.8791646766299107,3.9505981437028557,7.795612215626358e-5,0.03450767163263828
TRINITY_DN196023_c0_g1,149.72438805366556,7.269208017194918,0.7933275964033407,9.162933509625617,5.0505329223999274e-20,2.926063384863886e-16
TRINITY_DN196814_c1_g1,17.482144718751,3.683156975815146,0.8677465063536403,4.244507985739002,2.190735663005885e-5,0.011970440970940186
TRINITY_DN197009_c0_g1,16.373294307409243,4.970464617175037,1.1801353958631247,4.2117748815929295,2.5337198539809147e-5,0.013562389603721237
TRINITY_DN197312_c0_g1,35.794079179176265,2.691448382490918,0.5847492260508143,4.6027395378836005,4.169695606841049e-6,0.002762108177385631
