row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN126714_c0_g1,85.59656872433311,-1.2510094249339896,0.3147851562708773,-3.9741690483571515,7.062538983183163e-5,0.031939341061851013
TRINITY_DN129332_c0_g3,271.6028114204228,-1.091441000252816,0.21014161703050346,-5.193835546123099,2.060051309653618e-7,1.834675989861863e-4
TRINITY_DN133022_c0_g2,9.576351518173716,-6.726440568279998,1.649633622102764,-4.077536052948473,4.551547393778704e-5,0.022055858129092738
TRINITY_DN137856_c0_g2,9.858072386877243,-6.763502625938847,1.7359671094595728,-3.8961006744214215,9.775376869653193e-5,0.04199712974590165
TRINITY_DN143738_c0_g1,11.428454658802469,-6.980028429805556,1.614501637401671,-4.323333137672749,1.5368938933265003e-5,0.008724486007155448
TRINITY_DN169624_c0_g1,90.18598207884511,-1.9982864366497448,0.3752461173487285,-5.325268788304802,1.008038652960824e-7,9.706795097082427e-5
TRINITY_DN170945_c0_g1,21.933997601217133,-5.443172467859231,1.382540922012224,-3.9370787375587746,8.247955001244331e-5,0.0362655033053038
TRINITY_DN171269_c0_g2,11.987264045885622,-7.047960521540949,1.6113508880435436,-4.3739452243690895,1.2202100822153985e-5,0.007100703465580872
TRINITY_DN173324_c0_g2,42.23756848298587,-1.9542958863690427,0.4660706646788512,-4.19313214599263,2.75129061907738e-5,0.014607907091153395
TRINITY_DN181840_c0_g1,37.889121549964514,-1.9361579070814685,0.47951682466019746,-4.0377267439020486,5.397166872856381e-5,0.025651656555692286
TRINITY_DN186330_c0_g1,10.18952152507775,-6.813746591292906,1.6370804725263635,-4.162132959033984,3.152886717628105e-5,0.01635539980811043
TRINITY_DN188691_c0_g1,242.3193415289079,-1.6504428466605854,0.313502057403131,-5.264535934251582,1.4054390940356933e-7,1.302802357184903e-4
TRINITY_DN188735_c1_g1,197.19744548773664,-1.6648915469682952,0.28598654039115523,-5.821573087639567,5.829630195842504e-9,7.238703353231771e-6
TRINITY_DN189023_c0_g2,34.59990986283134,-3.2490163120965456,0.7788323192437032,-4.171650600287815,3.024010889182085e-5,0.015826237093767303
TRINITY_DN189994_c0_g1,231.29673544563258,-1.0819450567498052,0.23193851882540978,-4.664792472716584,3.0892865381649807e-6,0.002112959361866476
TRINITY_DN190586_c0_g1,44.97473793855106,-4.246181067964713,0.7422690565898048,-5.72054166917974,1.0618498171569453e-8,1.2628495937211511e-5
TRINITY_DN191225_c0_g1,1260.6138327666274,-1.1607387037216073,0.2029093227627688,-5.720479906577204,1.062235905265366e-8,1.2628495937211511e-5
TRINITY_DN192237_c0_g2,68.04995192812163,-1.8067135163209895,0.4184480815159112,-4.317652765370107,1.576972591227126e-5,0.00891346991330864
TRINITY_DN192305_c0_g1,57.54918737530531,-1.6937581901540177,0.399083514629229,-4.244119659333998,2.194532336412975e-5,0.011974578155820842
TRINITY_DN192765_c0_g2,2677.053183015173,-1.093948137118247,0.1984097585481173,-5.513580305340417,3.516064911414573e-8,3.795067070398957e-5
TRINITY_DN192849_c0_g3,278.25212261102826,-1.1736319052463293,0.2504676610232932,-4.685762227552334,2.789199266657036e-6,0.001927791773140361
TRINITY_DN192884_c0_g1,65.1680852603877,-1.4108354423107403,0.3624420741101451,-3.892581858148156,9.918301741238816e-5,0.042518432087961563
TRINITY_DN193044_c0_g1,43.42965217854374,-3.3995583083035403,0.5829198023846098,-5.831948570620896,5.478380618580889e-9,6.829997669740451e-6
TRINITY_DN193255_c0_g1,84.33401489902585,-1.5661274192121724,0.3465751132802278,-4.518868664253627,6.2170943536338385e-6,0.003969700393582898
TRINITY_DN193401_c0_g1,25.75810473013736,-2.4873624907722363,0.6457510846494194,-3.8518905347602077,1.1720941897008631e-4,0.049175904500225895
TRINITY_DN193472_c0_g1,120.50110022317514,-1.833484705329076,0.3011506998265555,-6.088263139966308,1.1414216093911228e-9,1.6654736351872404e-6
TRINITY_DN194647_c0_g1,129.45801233481552,-1.8203113957922232,0.29251912750672315,-6.222879889283089,4.881110596347264e-10,7.482400676532129e-7
TRINITY_DN196447_c0_g1,251.60763189864056,-1.0522879357161747,0.27283588018508614,-3.856853193217566,1.1485609569561945e-4,0.0483430043039886
TRINITY_DN196617_c0_g1,305.75393003510993,-1.0643649181788213,0.23478450950641053,-4.533369430617228,5.805015549211593e-6,0.0037368649359706646
TRINITY_DN196617_c1_g1,897.1747696664953,-1.0116289287190374,0.21937536080021838,-4.611406335829627,3.999538634549758e-6,0.002661605133586362
TRINITY_DN196617_c2_g1,217.1500086504533,-1.1596503210278475,0.24079803534532876,-4.815862884283053,1.4656514386063647e-6,0.001073257319159255
TRINITY_DN197011_c0_g1,72.21980498417024,-1.6638193960309153,0.352075545805809,-4.725745414163506,2.2927274903348123e-6,0.001621633393671048
TRINITY_DN197038_c0_g1,8.811655390077592,-6.606799105923716,1.676978222422182,-3.93970477230231,8.158194189919035e-5,0.03591091237590025
TRINITY_DN197273_c0_g1,60.49747931119574,-1.7732017323634397,0.3985292296440196,-4.449364313747642,8.612481942686297e-6,0.005252320779545699
TRINITY_DN197586_c0_g2,33.79009439876197,-4.777608699909228,0.8104939656027971,-5.894687564213915,3.753909782032796e-9,4.929414415993788e-6
TRINITY_DN197598_c0_g2,265.9856989167995,-1.3979692614256125,0.3028391101848227,-4.616211098270735,3.9080942578850915e-6,0.0026095670137613295
TRINITY_DN198392_c0_g1,70.91120994846773,-1.8109306336699473,0.4294035658614769,-4.217316244304648,2.472271389042085e-5,0.013255325284446506
TRINITY_DN198455_c2_g2,13.162126385175425,-7.184574822945101,1.5938943184958758,-4.507560344229742,6.557728346271537e-6,0.00414687372790076
